"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"K. Guy",30002027,26566,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/52/54/0000465254_03.jpg",1662037200
"G. Vives",20204158,26585,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/52/29/0000465229_03.jpg",1662037200
"G. Vives",20204158,25829,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/52/13/0000465213_03.jpg",1662130800
"J. Pradilla",20211129,26939,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/89/19/0000468919_03.jpg",1662037200
"J. Pradilla",20211129,26032,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/89/16/0000468916_03.jpg",1662037200
"J. Parra",20212265,25842,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/47/06/06/0000470606_03.jpg",1662044400
"J. Parra",20212265,26931,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/06/09/0000470609_03.jpg",1662044400
"Z. Maronka",30000153,26583,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/53/96/0000465396_03.jpg",1662037200
"Z. Maronka",30000153,26254,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/53/83/0000465383_03.jpg",1662058800
"López-Arostegui",20211660,26940,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/91/21/0000469121_03.jpg",1662037200
"López-Arostegui",20211660,26270,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/91/07/0000469107_03.jpg",1662037200
"J. Radebaugh",30001917,26934,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/89/87/0000468987_03.jpg",1662037200
"J. Radebaugh",30001917,26942,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/89/77/0000468977_03.jpg",1662037200
"K. Alexander",30000909,26104,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/90/32/0000469032_03.jpg",1662037200
"K. Alexander",30000909,26968,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/90/37/0000469037_03.jpg",1662037200
"J. Harper",30002061,26969,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/89/44/0000468944_03.jpg",1662037200
"J. Harper",30002061,26936,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/89/46/0000468946_03.jpg",1662037200
