"license_id","license_licenseAbbrev","license_licenseStr15","url_4"
20211605,"M. Salash","Maksim Salash","https://static.acb.com/img/www/jugadores2022/SalashCara.jpg"
30001130,"M. Mobley","Matt Mobley","https://static.acb.com/img/www/jugadores2022/MobleyCara.jpg"
30000059,"A. Bouteille","Axel Bouteille","https://static.acb.com/img/www/jugadores2022/BouteilleCara.jpg"
20211304,"S. Rojas","Sadiel Rojas","https://static.acb.com/img/www/jugadores2022/SadielCara.jpg"
20210707,"R. Guerrero","Rubén Guerrero","https://static.acb.com/img/www/jugadores2022/GuerreroCara.jpg"
20200191,"J. Barreiro","Jonathan Barreiro","https://static.acb.com/img/www/jugadores2022/BarreiroCara.jpg"
30000289,"L. Birutis","Laurynas Birutis","https://static.acb.com/img/www/jugadores2022/BirutisCara.jpg"
30000927,"K. Cheatham","Kwan Cheatham","https://static.acb.com/img/www/jugadores2022/CheathamCara.jpg"
30001167,"F. Zurbriggen","Fernando Zurbriggen","https://static.acb.com/img/www/jugadores2022/ZurbriggenCara.jpg"
30001116,"W. Baldwin IV","Wade Baldwin IV","https://static.acb.com/img/www/jugadores2022/BaldwinCara.jpg"
30000290,"S. Enoch","Steven Enoch","https://static.acb.com/img/www/jugadores2022/EnochCara.jpg"
20211614,"J. Taylor","Jeff Taylor","https://static.acb.com/img/www/jugadores2022/TaylorCara.jpg"
30000076,"J. Rivero","Jasiel Rivero","https://static.acb.com/img/www/jugadores2022/JasielRiveroCara.jpg"
20210357,"C. Alocén","Carlos Alocén","https://static.acb.com/img/www/jugadores2022/AlocenCara.jpg"
20201540,"R. Fernández","Rudy Fernández","https://static.acb.com/img/www/jugadores2022/RudyCara.jpg"
20204078,"P. Almazán","Pablo Almazán","https://static.acb.com/img/www/jugadores2022/AlmazanCara.jpg"
30001134,"S. Evans","Shannon Evans","https://static.acb.com/img/www/jugadores2022/EvansCara.jpg"
20210498,"L. Hakanson","Ludde Hakanson","https://static.acb.com/img/www/jugadores2022/HakansonCara.jpg"
20211643,"A. Pustovyi","Artem Pustovyi","https://static.acb.com/img/www/jugadores2022/PustovyiCara.jpg"
30000031,"AJ Slaughter","AJ Slaughter","https://static.acb.com/img/www/jugadores2022/SlaughterCara.jpg"
20212744,"M. Nakic","Mario Nakic","https://static.acb.com/img/www/jugadores2022/NakicCara.jpg"
20211282,"G. Colom","Guillem Colom","https://static.acb.com/img/www/jugadores2022/ColomCara.jpg"
30001211,"S. Armand","Sean Armand","https://static.acb.com/img/www/jugadores2022/ArmandCara.jpg"
30000091,"K. Queeley","Kareem Queeley","https://static.acb.com/img/www/jugadores2022/QueeleyCara.jpg"
30001145,"D. Ristic","Dusan Ristic","https://static.acb.com/img/www/jugadores2022/RisticCara.jpg"
30001129,"J. McLean","Jamel McLean","https://static.acb.com/img/www/jugadores2022/McLeanCara.jpg"
30001131,"H. Vanwijn","Hans Vanwijn","https://static.acb.com/img/www/jugadores2022/VanwijnCara.jpg"
20209226,"A. Díaz","Alberto Díaz","https://static.acb.com/img/www/jugadores2022/AlbertoDiazCara.jpg"
30001218,"S. Fontecchio","Simone Fontecchio","https://static.acb.com/img/www/jugadores2022/FontecchioCara.jpg"
30001221,"V. Brown","Vitto Brown","https://static.acb.com/img/www/jugadores2022/BrownCara.jpg"
20211129,"J. Pradilla","Jaime Pradilla","https://static.acb.com/img/www/jugadores2022/PradillaCara.jpg"
20210585,"F. Alonso","Francis Alonso","https://static.acb.com/img/www/jugadores2022/FrancisAlonsoCara.jpg"
20210914,"E. Cate","Emanuel Cate","https://static.acb.com/img/www/jugadores2022/CateCara.jpg"
20212959,"T. McFadden","Thad McFadden","https://static.acb.com/img/www/jugadores2022/McFaddenCara.jpg"
20212407,"G. Mekel","Gal Mekel","https://static.acb.com/img/www/jugadores2022/MekelCara.jpg"
30001234,"N. Hayes","Nigel Hayes","https://static.acb.com/img/www/jugadores2022/HayesCara.jpg"
20210232,"K. Kuric","Kyle Kuric","https://static.acb.com/img/www/jugadores2022/KuricCara.jpg"
20209919,"D. Brizuela","Darío Brizuela","https://static.acb.com/img/www/jugadores2022/BrizuelaCara.jpg"
30001217,"R. Jokubaitis","Rokas Jokubaitis","https://static.acb.com/img/www/jugadores2022/JokubaitisCara.jpg"
20209836,"A. Hanga","Adam Hanga","https://static.acb.com/img/www/jugadores2022/HangaCara.jpg"
20210088,"A. Abalde","Alberto Abalde","https://static.acb.com/img/www/jugadores2022/AbaldeCara.jpg"
20209890,"I. Diop","Ilimane Diop","https://static.acb.com/img/www/jugadores2022/IDiopCara.jpg"
30000213,"B. Olumuyiwa","Babatunde Olumuyiwa","https://static.acb.com/img/www/jugadores2022/OlumuyiwaCara.jpg"
30001170,"D. Musa","Dzanan Musa","https://static.acb.com/img/www/jugadores2022/MusaCara.jpg"
20211297,"A. Waczynski","Adam Waczynski","https://static.acb.com/img/www/jugadores2022/WaczynskiCara.jpg"
30001111,"A. Goudelock","Andrew Goudelock","https://static.acb.com/img/www/jugadores2022/GoudelockCara.jpg"
30000063,"J. Rousselle","Jonathan Rousselle","https://static.acb.com/img/www/jugadores2022/RousselleCara.jpg"
20204097,"T. Heurtel","Thomas Heurtel","https://static.acb.com/img/www/jugadores2022/HeurtelCara.jpg"
20210254,"B. Dubljevic","Bojan Dubljevic","https://static.acb.com/img/www/jugadores2022/DubljevicCara.jpg"
20209139,"E. Vicedo","Edgar Vicedo","https://static.acb.com/img/www/jugadores2022/VicedoOBRCara.jpg"
20210271,"A. Renfroe","Alex Renfroe","https://static.acb.com/img/www/jugadores2022/RenfroeCara.jpg"
30001117,"H. Ellenson","Henry Ellenson","https://static.acb.com/img/www/jugadores2022/EllensonCara.jpg"
30001166,"T. Scrubb","Thomas Scrubb","https://static.acb.com/img/www/jugadores2022/ScrubbCara.jpg"
30000306,"R. Giedraitis","Rokas Giedraitis","https://static.acb.com/img/www/jugadores2022/GiedraitisCara.jpg"
20200294,"M. Todorovic","Marko Todorovic","https://static.acb.com/img/www/jugadores2022/MTodorovicCara.jpg"
20210828,"E. Sulejmanovic","Emir Sulejmanovic","https://static.acb.com/img/www/jugadores2022/SulejmanovicCara.jpg"
20210224,"F. Causeur","Fabien Causeur","https://static.acb.com/img/www/jugadores2022/CauseurCara.jpg"
30001224,"A. Nikolic","Aleksej Nikolic","https://static.acb.com/img/www/jugadores2022/NikolicCara.jpg"
30001114,"A. Feliz","Andres Feliz","https://static.acb.com/img/www/jugadores2022/FelizCara.jpg"
20203810,"N. Llovet","Nacho Llovet","https://static.acb.com/img/www/jugadores2022/LlovetCara.jpg"
20202155,"E. Báez","Eulis Báez","https://static.acb.com/img/www/jugadores2022/BaezCara.jpg"
20212204,"A. Cvetkovic","Aleksandar Cvetkovic","https://static.acb.com/img/www/jugadores2022/CvetkovicCara.jpg"
20211660,"López-Arostegui","Xabi López-Arostegui","https://static.acb.com/img/www/jugadores2022/LopezArosteguiCara.jpg"
20212409,"D.Milosavljevic","Dragan Milosavljevic","https://static.acb.com/img/www/jugadores2022/MilosavljevicCara.jpg"
20204111,"S. Van Rossom","Sam Van Rossom","https://static.acb.com/img/www/jugadores2022/VanRossomCara.jpg"
20201767,"C. Suárez","Carlos Suárez","https://static.acb.com/img/www/jugadores2022/CSuarezCara.jpg"
30001698,"J. Bone","Jordan Bone","https://static.acb.com/img/www/jugadores2022/BoneCara.jpg"
20212399,"M. Tobey","Mike Tobey","https://static.acb.com/img/www/jugadores2022/TobeyCara.jpg"
20212195,"A. Randolph","Anthony Randolph","https://static.acb.com/img/www/jugadores2022/RandolphCara.jpg"
20211635,"B. Paul","Brandon Paul","https://static.acb.com/img/www/jugadores2022/PaulCara.jpg"
20210404,"D. Todorovic","Dejan Todorovic","https://static.acb.com/img/www/jugadores2022/TodorovicCara.jpg"
20210941,"V. Okouo","Viny Okouo","https://static.acb.com/img/www/jugadores2022/OkouoCara.jpg"
30000013,"S. Quintela","Sergi Quintela","https://static.acb.com/img/www/jugadores2022/SergiQuintelaCara.jpg"
30001132,"D. Crawford","Drew Crawford","https://static.acb.com/img/www/jugadores2022/CrawfordCara.jpg"
30000039,"D. Kravic","Dejan Kravic","https://static.acb.com/img/www/jugadores2022/KravicUNICara.jpg"
20202070,"O. Cook","Omar Cook","https://static.acb.com/img/www/jugadores2022/CookCara.jpg"
30001112,"G. Yabusele","Guerschon  Yabusele","https://static.acb.com/img/www/jugadores2022/YabuseleCara.jpg"
20210392,"J. Puerto","Josep Puerto","https://static.acb.com/img/www/jugadores2022/JosepPuertoCara.jpg"
20204053,"T. Bellas","Tomás Bellas","https://static.acb.com/img/www/jugadores2022/BellasCara.jpg"
20200243,"F. Bassas","Ferran Bassas","https://static.acb.com/img/www/jugadores2022/BassasCara.jpg"
20204133,"A. Reyes","Álex Reyes","https://static.acb.com/img/www/jugadores2022/ReyesCara.jpg"
20200296,"V. Arteaga","Víctor Arteaga","https://static.acb.com/img/www/jugadores2022/ArteagaCara.jpg"
30001187,"B. Hobbs","Braydon Hobbs","https://static.acb.com/img/www/jugadores2022/HobbsCara.jpg"
20210918,"S. Yusta","Santi Yusta","https://static.acb.com/img/www/jugadores2022/YustaCara.jpg"
