"","jugador","jug","eq","broker","media_sm","media","ef","rent","reg","jornada","val","j1","j2","j3","j4","j5","j6","j7"
"1","Ethan Happ","E. Happ","BRE",952222,39.6,39.6,0,2.1,0,"j1",39.6,NA,NA,NA,NA,NA,NA,NA
"2","Marc Gasol","M. Gasol","GIR",1123333,34,34,0,1.5,0,"j1",34,NA,NA,NA,NA,NA,NA,NA
"3","Mario Hezonja","M. Hezonja","RMB",635556,31.2,31.2,0,2.5,0,"j1",31.2,NA,NA,NA,NA,NA,NA,NA
"4","Darius Thompson","D. Thompson","BKN",911250,28.8,28.8,0,1.6,0,"j1",28.8,NA,NA,NA,NA,NA,NA,NA
"5","Olek Balcerowski","O. Balcerowski","GCA",587778,26.4,26.4,0,2.2,0,"j1",26.4,NA,NA,NA,NA,NA,NA,NA
"6","Kameron Taylor","K. Taylor","GIR",698889,26,26,0,1.9,0,"j1",26,NA,NA,NA,NA,NA,NA,NA
"7","Nikola Kalinic","N. Kalinic","BAR",493333,25,25,0,2.5,0,"j1",25,NA,NA,NA,NA,NA,NA,NA
"8","Nihad Djedovic","N. Djedovic","UNI",672222,24,24,0,1.8,0,"j1",24,NA,NA,NA,NA,NA,NA,NA
"9","Prince Ali","P. Ali","COV",440000,24,24,0,2.7,0,"j1",24,NA,NA,NA,NA,NA,NA,NA
"10","Matt Costello","M. Costello","BKN",960000,22.8,22.8,0,1.2,0,"j1",22.8,NA,NA,NA,NA,NA,NA,NA
"11","Chris Jones","C. Jones","VBC",954444,22.8,22.8,0,1.2,0,"j1",22.8,NA,NA,NA,NA,NA,NA,NA
"12","Jasiel Rivero","J. Rivero","VBC",905111,22.8,22.8,0,1.3,0,"j1",22.8,NA,NA,NA,NA,NA,NA,NA
"13","Tadas Sedekerskis","T. Sedekerskis","BKN",670000,21.6,21.6,0,1.6,0,"j1",21.6,NA,NA,NA,NA,NA,NA,NA
"14","Francis Alonso","F. Alonso","SBB",358889,21.6,21.6,0,3,0,"j1",21.6,NA,NA,NA,NA,NA,NA,NA
"15","Ante Tomic","A. Tomic","JOV",1147778,21,21,0,0.9,0,"j1",21,NA,NA,NA,NA,NA,NA,NA
"16","Sasu Salin","S. Salin","LNT",675556,20.4,20.4,0,1.5,0,"j1",20.4,NA,NA,NA,NA,NA,NA,NA
"17","Guerschon Yabusele","G. Yabusele","RMB",960000,20.4,20.4,0,1.1,0,"j1",20.4,NA,NA,NA,NA,NA,NA,NA
"18","Sergio Rodríguez","S. Rodríguez","RMB",532500,19.2,19.2,0,1.8,0,"j1",19.2,NA,NA,NA,NA,NA,NA,NA
"19","Jeff Withey","J. Withey","SBB",750000,19.2,19.2,0,1.3,0,"j1",19.2,NA,NA,NA,NA,NA,NA,NA
"20","Miquel Salvó","M. Salvó","GCA",764444,18,18,0,1.2,0,"j1",18,NA,NA,NA,NA,NA,NA,NA
"21","Sertaç Sanli","S. Sanli","BAR",420000,18,18,0,2.1,0,"j1",18,NA,NA,NA,NA,NA,NA,NA
"22","Dragan Bender","D. Bender","MOB",1017778,18,18,0,0.9,0,"j1",18,NA,NA,NA,NA,NA,NA,NA
"23","Edy Tavares","E. Tavares","RMB",828889,18,18,0,1.1,0,"j1",18,NA,NA,NA,NA,NA,NA,NA
"24","Howard Sant-Roos","H. Sant-Roos","CAZ",655556,17,17,0,1.3,0,"j1",17,NA,NA,NA,NA,NA,NA,NA
"25","Mamadou Niang","M. Niang","COV",703576,16.8,16.8,0,1.2,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"26","Nemanja Nenadic","N. Nenadic","BRE",466667,16.8,16.8,0,1.8,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"27","Arturs Kurucs","A. Kurucs","BKN",300643,16.8,16.8,0,2.8,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"28","Cristiano Felicio","C. Felicio","COV",801111,16.8,16.8,0,1,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"29","Elgin Cook","E. Cook","LNT",462222,16.8,16.8,0,1.8,0,"j1",16.8,NA,NA,NA,NA,NA,NA,NA
"30","Rokas Jokubaitis","R. Jokubaitis","BAR",665556,16,16,0,1.2,0,"j1",16,NA,NA,NA,NA,NA,NA,NA
"31","Amar Sylla","A. Sylla","BET",321111,16,16,0,2.5,0,"j1",16,NA,NA,NA,NA,NA,NA,NA
"32","Augusto Lima","A. Lima","UNI",425556,16,16,0,1.9,0,"j1",16,NA,NA,NA,NA,NA,NA,NA
"33","Nico Brussino","N. Brussino","GCA",832222,15.6,15.6,0,0.9,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"34","Rokas Giedraitis","R. Giedraitis","BKN",606667,15.6,15.6,0,1.3,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"35","Scott Bamforth","S. Bamforth","BRE",688889,15.6,15.6,0,1.1,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"36","Thomas Bropleh","T. Bropleh","COV",600875,15.6,15.6,0,1.3,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"37","Thomas Scrubb","T. Scrubb","MOB",911111,15.6,15.6,0,0.9,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"38","Alex Renfroe","A. Renfroe","COV",815556,15.6,15.6,0,1,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"39","Bruno Fitipaldo","B. Fitipaldo","LNT",336667,15.6,15.6,0,2.3,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"40","Damien Inglis","D. Inglis","GCA",817778,15.6,15.6,0,1,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"41","Ferran Bassas","F. Bassas","GCA",475556,15.6,15.6,0,1.6,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"42","John Shurna","J. Shurna","GCA",722857,15.6,15.6,0,1.1,0,"j1",15.6,NA,NA,NA,NA,NA,NA,NA
"43","Dusan Miletic","D. Miletic","GIR",454444,15,15,0,1.7,0,"j1",15,NA,NA,NA,NA,NA,NA,NA
"44","Markus Howard","M. Howard","BKN",325000,14.4,14.4,0,2.2,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"45","Sergi García","S. García","BRE",397778,14.4,14.4,0,1.8,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"46","Sergio Llull","S. Llull","RMB",585000,14.4,14.4,0,1.2,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"47","Tim Abromaitis","T. Abromaitis","LNT",388889,14.4,14.4,0,1.9,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"48","Klemen Prepelic","K. Prepelic","VBC",169217,14.4,14.4,0,4.3,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"49","Ludde Hakanson","L. Hakanson","SBB",807500,14.4,14.4,0,0.9,0,"j1",14.4,NA,NA,NA,NA,NA,NA,NA
"50","Volodymyr Gerun","V. Gerun","BET",390000,14,14,0,1.8,0,"j1",14,NA,NA,NA,NA,NA,NA,NA
"51","Jerrick Harding","J. Harding","BAX",834444,14,14,0,0.8,0,"j1",14,NA,NA,NA,NA,NA,NA,NA
"52","Jovan Novak","J. Novak","FUE",738889,14,14,0,0.9,0,"j1",14,NA,NA,NA,NA,NA,NA,NA
"53","Marcelinho Huertas","M. Huertas","LNT",595556,13.2,13.2,0,1.1,0,"j1",13.2,NA,NA,NA,NA,NA,NA,NA
"54","Sam Van Rossom","S. Van Rossom","VBC",315913,13.2,13.2,0,2.1,0,"j1",13.2,NA,NA,NA,NA,NA,NA,NA
"55","Toni Nakic","T. Nakic","BRE",548750,13.2,13.2,0,1.2,0,"j1",13.2,NA,NA,NA,NA,NA,NA,NA
"56","Adam Smith","A. Smith","SBB",394444,13.2,13.2,0,1.7,0,"j1",13.2,NA,NA,NA,NA,NA,NA,NA
"57","Daulton Hommes","D. Hommes","BKN",530643,13.2,13.2,0,1.2,0,"j1",13.2,NA,NA,NA,NA,NA,NA,NA
"58","Travis Trice","T. Trice","UCM",790000,13,13,0,0.8,0,"j1",13,NA,NA,NA,NA,NA,NA,NA
"59","Bassala Bagayoko","B. Bagayoko","FUE",372403,13,13,0,1.7,0,"j1",13,NA,NA,NA,NA,NA,NA,NA
"60","Jeremy Senglin","J. Senglin","FUE",414444,13,13,0,1.6,0,"j1",13,NA,NA,NA,NA,NA,NA,NA
"61","Marcus Lee","M. Lee","BAX",442857,12,12,0,1.4,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"62","Marcus Paige","M. Paige","MOB",193899,12,12,0,3.1,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"63","Marek Blazevic","M. Blazevic","MOB",285903,12,12,0,2.1,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"64","Vanja Marinkovic","V. Marinkovic","BKN",331250,12,12,0,1.8,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"65","Xavi Rabaseda","X. Rabaseda","SBB",374444,12,12,0,1.6,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"66","Álex Abrines","Á. Abrines","BAR",442000,12,12,0,1.4,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"67","Andrew Albicy","A. Albicy","GCA",427500,12,12,0,1.4,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"68","Bojan Dubljevic","B. Dubljevic","VBC",804444,12,12,0,0.7,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"69","David Walker","D. Walker","MOB",312222,12,12,0,1.9,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"70","Fran Guerra","F. Guerra","LNT",309135,12,12,0,1.9,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"71","Luke Maye","L. Maye","COV",657500,12,12,0,0.9,0,"j1",12,NA,NA,NA,NA,NA,NA,NA
"72","Marcis Steinbergs","M. Steinbergs","BAX",226250,11,11,0,2.4,0,"j1",11,NA,NA,NA,NA,NA,NA,NA
"73","Lasan Kromah","L. Kromah","FUE",577778,11,11,0,1,0,"j1",11,NA,NA,NA,NA,NA,NA,NA
"74","Quino Colom","Q. Colom","GIR",525556,10,10,0,1,0,"j1",10,NA,NA,NA,NA,NA,NA,NA
"75","Brancou Badio","B. Badio","BAX",280000,10,10,0,1.8,0,"j1",10,NA,NA,NA,NA,NA,NA,NA
"76","Christian Mekowulu","C. Mekowulu","CAZ",704444,10,10,0,0.7,0,"j1",10,NA,NA,NA,NA,NA,NA,NA
"77","Joel Parra","J. Parra","JOV",730000,10,10,0,0.7,0,"j1",10,NA,NA,NA,NA,NA,NA,NA
"78","Juampi Vaulet","J. Vaulet","BAX",455556,10,10,0,1.1,0,"j1",10,NA,NA,NA,NA,NA,NA,NA
"79","Moussa Diagne","M. Diagne","LNT",362222,9.6,9.6,0,1.3,0,"j1",9.6,NA,NA,NA,NA,NA,NA,NA
"80","Nikola Radicevic","N. Radicevic","SBB",368333,9.6,9.6,0,1.3,0,"j1",9.6,NA,NA,NA,NA,NA,NA,NA
"81","Víctor Claver","V. Claver","VBC",226313,9.6,9.6,0,2.1,0,"j1",9.6,NA,NA,NA,NA,NA,NA,NA
"82","Dzanan Musa","D. Musa","RMB",880000,9.6,9.6,0,0.5,0,"j1",9.6,NA,NA,NA,NA,NA,NA,NA
"83","Jaime Fernández","J. Fernández","LNT",711111,9.6,9.6,0,0.7,0,"j1",9.6,NA,NA,NA,NA,NA,NA,NA
"84","Khalifa Diop","K. Diop","GCA",302222,9.6,9.6,0,1.6,0,"j1",9.6,NA,NA,NA,NA,NA,NA,NA
"85","Artem Pustovyi","A. Pustovyi","UCM",404444,9,9,0,1.1,0,"j1",9,NA,NA,NA,NA,NA,NA,NA
"86","BJ Johnson III","B. Johnson III","BET",471111,9,9,0,1,0,"j1",9,NA,NA,NA,NA,NA,NA,NA
"87","Clevin Hannah","C. Hannah","FUE",327778,9,9,0,1.4,0,"j1",9,NA,NA,NA,NA,NA,NA,NA
"88","Dusan Ristic","D. Ristic","FUE",801111,9,9,0,0.6,0,"j1",9,NA,NA,NA,NA,NA,NA,NA
"89","Kyle Guy","K. Guy","JOV",471111,9,9,0,1,0,"j1",9,NA,NA,NA,NA,NA,NA,NA
"90","Justus Hollatz","J. Hollatz","BRE",322222,8.4,8.4,0,1.3,0,"j1",8.4,NA,NA,NA,NA,NA,NA,NA
"91","Pepe Pozas","P. Pozas","BET",94474,8,8,0,4.2,0,"j1",8,NA,NA,NA,NA,NA,NA,NA
"92","Shannon Evans","S. Evans","BET",847500,8,8,0,0.5,0,"j1",8,NA,NA,NA,NA,NA,NA,NA
"93","Andres Feliz","A. Feliz","JOV",557342,8,8,0,0.7,0,"j1",8,NA,NA,NA,NA,NA,NA,NA
"94","Georgios Tsalmpouris","G. Tsalmpouris","BET",418241,8,8,0,1,0,"j1",8,NA,NA,NA,NA,NA,NA,NA
"95","Henry Ellenson","H. Ellenson","JOV",641111,8,8,0,0.6,0,"j1",8,NA,NA,NA,NA,NA,NA,NA
"96","Justinian Jessup","J. Jessup","CAZ",595677,8,8,0,0.7,0,"j1",8,NA,NA,NA,NA,NA,NA,NA
"97","Kendrick Perry","K. Perry","UNI",365196,8,8,0,1.1,0,"j1",8,NA,NA,NA,NA,NA,NA,NA
"98","Marko Lukovic","M. Lukovic","BRE",336375,7.2,7.2,0,1.1,0,"j1",7.2,NA,NA,NA,NA,NA,NA,NA
"99","Rubén Guerrero","R. Guerrero","MOB",302222,7.2,7.2,0,1.2,0,"j1",7.2,NA,NA,NA,NA,NA,NA,NA
"100","Aaron Doornekamp","A. Doornekamp","LNT",514444,7.2,7.2,0,0.7,0,"j1",7.2,NA,NA,NA,NA,NA,NA,NA
"101","Kyle Alexander","K. Alexander","VBC",282500,7.2,7.2,0,1.3,0,"j1",7.2,NA,NA,NA,NA,NA,NA,NA
"102","Luka Brajkovic","L. Brajkovic","BRE",171111,7.2,7.2,0,2.1,0,"j1",7.2,NA,NA,NA,NA,NA,NA,NA
"103","Nico Laprovittola","N. Laprovittola","BAR",645000,7,7,0,0.5,0,"j1",7,NA,NA,NA,NA,NA,NA,NA
"104","Santi Yusta","S. Yusta","CAZ",487778,7,7,0,0.7,0,"j1",7,NA,NA,NA,NA,NA,NA,NA
"105","Darío Brizuela","D. Brizuela","UNI",324444,7,7,0,1.1,0,"j1",7,NA,NA,NA,NA,NA,NA,NA
"106","David Kravish","D. Kravish","UNI",448889,7,7,0,0.8,0,"j1",7,NA,NA,NA,NA,NA,NA,NA
"107","Dylan Osetkowski","D. Osetkowski","UNI",661111,7,7,0,0.5,0,"j1",7,NA,NA,NA,NA,NA,NA,NA
"108","Pere Tomàs","P. Tomàs","COV",278889,6,6,0,1.1,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"109","Phil Scrubb","P. Scrubb","MOB",517778,6,6,0,0.6,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"110","Tryggvi Hlinason","T. Hlinason","CAZ",293750,6,6,0,1,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"111","Xabi López-Arostegui","X. López-Arostegui","VBC",350353,6,6,0,0.9,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"112","Edgar Vicedo","E. Vicedo","MOB",237778,6,6,0,1.3,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"113","Eric Vila","E. Vila","GIR",265556,6,6,0,1.1,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"114","Guillem Vives","G. Vives","JOV",386667,6,6,0,0.8,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"115","Jacobo Díaz","J. Díaz","COV",95393,6,6,0,3.1,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"116","Jan Vesely","J. Vesely","BAR",627778,6,6,0,0.5,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"117","Joan Sastre","J. Sastre","LNT",121111,6,6,0,2.5,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"118","Juan Fernández","J. Fernández","FUE",85978,6,6,0,3.5,0,"j1",6,NA,NA,NA,NA,NA,NA,NA
"119","Marcel Ponitka","M. Ponitka","CAZ",370300,5,5,0,0.7,0,"j1",5,NA,NA,NA,NA,NA,NA,NA
"120","Thad McFadden","T. McFadden","UCM",494444,5,5,0,0.5,0,"j1",5,NA,NA,NA,NA,NA,NA,NA
"121","Tyler Kalinoski","T. Kalinoski","UNI",278875,5,5,0,0.9,0,"j1",5,NA,NA,NA,NA,NA,NA,NA
"122","Zsombor Maronka","Z. Maronka","JOV",103860,5,5,0,2.4,0,"j1",5,NA,NA,NA,NA,NA,NA,NA
"123","Dairis Bertans","D. Bertans","BET",69485,5,5,0,3.6,0,"j1",5,NA,NA,NA,NA,NA,NA,NA
"124","Jeremiah Hill","J. Hill","BET",397778,5,5,0,0.6,0,"j1",5,NA,NA,NA,NA,NA,NA,NA
"125","Michale Kyser","M. Kyser","SBB",696667,4.8,4.8,0,0.3,0,"j1",4.8,NA,NA,NA,NA,NA,NA,NA
"126","Petr Cornelie","P. Cornelie","RMB",313750,4.8,4.8,0,0.8,0,"j1",4.8,NA,NA,NA,NA,NA,NA,NA
"127","Steven Enoch","S. Enoch","BKN",466512,4.8,4.8,0,0.5,0,"j1",4.8,NA,NA,NA,NA,NA,NA,NA
"128","Vincent Poirier","V. Poirier","RMB",650000,4.8,4.8,0,0.4,0,"j1",4.8,NA,NA,NA,NA,NA,NA,NA
"129","Denzel Andersson","D. Andersson","SBB",405556,4.8,4.8,0,0.6,0,"j1",4.8,NA,NA,NA,NA,NA,NA,NA
"130","Emir Sulejmanovic","E. Sulejmanovic","SBB",345556,4.8,4.8,0,0.7,0,"j1",4.8,NA,NA,NA,NA,NA,NA,NA
"131","James Webb III","J. Webb III","VBC",348833,4.8,4.8,0,0.7,0,"j1",4.8,NA,NA,NA,NA,NA,NA,NA
"132","Leo Westermann","L. Westermann","MOB",379500,4.8,4.8,0,0.6,0,"j1",4.8,NA,NA,NA,NA,NA,NA,NA
"133","Pol Figueras","P. Figueras","GIR",144484,4,4,0,1.4,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"134","Rihards Lomazs","R. Lomazs","CAZ",159734,4,4,0,1.3,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"135","Tyson Carter","T. Carter","UNI",4e+05,4,4,0,0.5,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"136","Alberto Díaz","A. Díaz","UNI",465556,4,4,0,0.4,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"137","Aleksandar Bursac","A. Bursac","BAX",104401,4,4,0,1.9,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"138","Christian Eyenga","C. Eyenga","FUE",247044,4,4,0,0.8,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"139","David Jelínek","D. Jelínek","UCM",176250,4,4,0,1.1,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"140","Dino Radoncic","D. Radoncic","CAZ",391111,4,4,0,0.5,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"141","Frankie Ferrari","F. Ferrari","BAX",158985,4,4,0,1.3,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"142","Giordano Bortolani","G. Bortolani","BAX",342857,4,4,0,0.6,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"143","James Anderson","J. Anderson","UCM",381372,4,4,0,0.5,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"144","Jordan Sakho","J. Sakho","UCM",141111,4,4,0,1.4,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"145","Kyle Kuric","K. Kuric","BAR",228491,4,4,0,0.9,0,"j1",4,NA,NA,NA,NA,NA,NA,NA
"146","Máximo Fjellerup","M. Fjellerup","GIR",280313,3,3,0,0.5,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"147","Melvin Ejim","M. Ejim","UNI",382813,3,3,0,0.4,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"148","Musa Sagnia","M. Sagnia","BAX",289134,0,3,0,0,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"149","Nemanja Radovic","N. Radovic","UCM",596667,3,3,0,0.3,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"150","Oscar Da Silva","O. Da Silva","BAR",587778,3,3,0,0.3,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"151","Simon Birgander","S. Birgander","JOV",471111,3,3,0,0.3,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"152","Will Thomas","W. Thomas","UNI",302222,3,3,0,0.5,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"153","Ilimane Diop","I. Diop","UCM",263720,3,3,0,0.6,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"154","Jordan Davis","J. Davis","UCM",189538,3,3,0,0.8,0,"j1",3,NA,NA,NA,NA,NA,NA,NA
"155","Sergi Quintela","S. Quintela","BRE",296675,2.4,2.4,0,0.4,0,"j1",2.4,NA,NA,NA,NA,NA,NA,NA
"156","Álex Reyes","Á. Reyes","SBB",171925,2.4,2.4,0,0.7,0,"j1",2.4,NA,NA,NA,NA,NA,NA,NA
"157","Iván Cruz","I. Cruz","LNT",314755,2.4,2.4,0,0.4,0,"j1",2.4,NA,NA,NA,NA,NA,NA,NA
"158","Josep Puerto","J. Puerto","VBC",248750,2.4,2.4,0,0.5,0,"j1",2.4,NA,NA,NA,NA,NA,NA,NA
"159","Ryan Luther","R. Luther","UCM",150861,2,2,0,0.7,0,"j1",2,NA,NA,NA,NA,NA,NA,NA
"160","Urban Klavzar","U. Klavzar","UCM",79836,2,2,0,1.3,0,"j1",2,NA,NA,NA,NA,NA,NA,NA
"161","William Howard","W. Howard","JOV",382500,2,2,0,0.3,0,"j1",2,NA,NA,NA,NA,NA,NA,NA
"162","Yannick Kraag","Y. Kraag","JOV",48333,2,2,0,2.1,0,"j1",2,NA,NA,NA,NA,NA,NA,NA
"163","Aleksandar Cvetkovic","A. Cvetkovic","BET",100379,2,2,0,1,0,"j1",2,NA,NA,NA,NA,NA,NA,NA
"164","Borisa Simanic","B. Simanic","CAZ",151143,2,2,0,0.7,0,"j1",2,NA,NA,NA,NA,NA,NA,NA
"165","Javi Beirán","J. Beirán","FUE",234903,2,2,0,0.4,0,"j1",2,NA,NA,NA,NA,NA,NA,NA
"166","AJ Slaughter","A. Slaughter","GCA",350750,1.2,1.2,0,0.2,0,"j1",1.2,NA,NA,NA,NA,NA,NA,NA
"167","Christian Díaz","C. Díaz","COV",225556,1.2,1.2,0,0.3,0,"j1",1.2,NA,NA,NA,NA,NA,NA,NA
"168","Jonah Radebaugh","J. Radebaugh","VBC",125922,1.2,1.2,0,0.5,0,"j1",1.2,NA,NA,NA,NA,NA,NA,NA
"169","Maodo Nguirane","M. Nguirane","CAZ",180625,1,1,0,0.3,0,"j1",1,NA,NA,NA,NA,NA,NA,NA
"170","Patricio Garino","P. Garino","GIR",159983,1,1,0,0.3,0,"j1",1,NA,NA,NA,NA,NA,NA,NA
"171","Tomás Bellas","T. Bellas","UCM",296571,1,1,0,0.2,0,"j1",1,NA,NA,NA,NA,NA,NA,NA
"172","Tomas Satoransky","T. Satoransky","BAR",462222,1,1,0,0.1,0,"j1",1,NA,NA,NA,NA,NA,NA,NA
"173","Dani Pérez","D. Pérez","BAX",298889,1,1,0,0.2,0,"j1",1,NA,NA,NA,NA,NA,NA,NA
"174","Jonathan Barreiro","J. Barreiro","UNI",116643,1,1,0,0.4,0,"j1",1,NA,NA,NA,NA,NA,NA,NA
"175","Justin Hamilton","J. Hamilton","BAX",403750,1,1,0,0.1,0,"j1",1,NA,NA,NA,NA,NA,NA,NA
"176","Maik Kotsar","M. Kotsar","BKN",570176,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"177","Ondrej Hanzlik","O. Hanzlik","GIR",71437,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"178","Oriol Paulí","O. Paulí","BAR",352222,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"179","Pau Ribas","P. Ribas","JOV",298778,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"180","Rodions Kurucs","R. Kurucs","BET",192500,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"181","Viny Okouo","V. Okouo","FUE",205932,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"182","Albert Ventura","A. Ventura","JOV",51292,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"183","Dani Díez","D. Díez","BKN",129032,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"184","David Iriarte","D. Iriarte","COV",60344,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"185","Josep Franch","J. Franch","GIR",128750,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"186","Lluis Costa","L. Costa","COV",313333,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"187","Pavel Savkov","P. Savkov","FUE",84304,-1,-1,0,-0.6,0,"j1",-1,NA,NA,NA,NA,NA,NA,NA
"188","Roko Prkacin","R. Prkacin","GIR",108750,-1,-1,0,-0.5,0,"j1",-1,NA,NA,NA,NA,NA,NA,NA
"189","Sander Raieste","S. Raieste","BKN",149500,-1,-1,0,-0.3,0,"j1",-1,NA,NA,NA,NA,NA,NA,NA
"190","Sergi Martínez","S. Martínez","BAR",90313,-1,-1,0,-0.6,0,"j1",-1,NA,NA,NA,NA,NA,NA,NA
"191","Dani García","D. García","BAX",75714,-1,-1,0,-0.7,0,"j1",-1,NA,NA,NA,NA,NA,NA,NA
"192","Fernando Zurbriggen","F. Zurbriggen","MOB",66361,-1,-1,0,-0.8,0,"j1",-1,NA,NA,NA,NA,NA,NA,NA
"193","Álex Suárez","Á. Suárez","MOB",103911,-2,-2,0,-1,0,"j1",-2,NA,NA,NA,NA,NA,NA,NA
"194","Elias Valtonen","E. Valtonen","BAX",90960,-2,-2,0,-1.1,0,"j1",-2,NA,NA,NA,NA,NA,NA,NA
"195","Stefan Momirov","S. Momirov","BRE",131929,-3,-3,0,-1.1,0,"j1",-3,NA,NA,NA,NA,NA,NA,NA
"196","Gabriel Deck","G. Deck","RMB",593333,-3,-3,0,-0.3,0,"j1",-3,NA,NA,NA,NA,NA,NA,NA
"197","Jaime Pradilla","J. Pradilla","VBC",221111,-3,-3,0,-0.7,0,"j1",-3,NA,NA,NA,NA,NA,NA,NA
"198","Víctor Arteaga","V. Arteaga","BRE",262483,-4,-4,0,-0.8,0,"j1",-4,NA,NA,NA,NA,NA,NA,NA
"199","Jovan Kljajic","J. Kljajic","GCA",48808,-5,-5,0,-5.1,0,"j1",-5,NA,NA,NA,NA,NA,NA,NA
"200","Fabien Causeur","F. Causeur","RMB",105714,-6,-6,0,-2.8,0,"j1",-6,NA,NA,NA,NA,NA,NA,NA
"201","Giorgi Shermadini","G. Shermadini","LNT",967143,0,0,0,0,0,"j1",NA,NA,NA,NA,NA,NA,NA,NA
"202","Cory Higgins","C. Higgins","BAR",758571,0,0,0,0,0,"j1",NA,NA,NA,NA,NA,NA,NA,NA
"203","Adam Waczynski","A. Waczynski","BAX",420142,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"204","Pierria Henry","P. Henry","BKN",570000,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"205","Sadiel Rojas","S. Rojas","UCM",353899,0,0,0,0,0,"j1",NA,NA,NA,NA,NA,NA,NA,NA
"206","Marc García","M. García","FUE",347507,0,0,0,0,0,"j1",0,NA,NA,NA,NA,NA,NA,NA
"207","James Nnaji","J. Nnaji","BAR",266002,0,0,0,0,0,"j1",NA,NA,NA,NA,NA,NA,NA,NA
